,,,,,,旋转成份矩阵(a),,,,,,,
13、请判断体测有必要进行的原因(J)：—J1.了解自身健康状况,,,,,0.695,,,,,,,,
J2.提升自身体能素质,,,,,0.68,,,,,,,,
J3.用作参与评价评优,,,,,0.692,,,,,,,,
J4.用作毕业考核,,,,,0.627,,,,,,,,
J5.帮助学生养成健身习惯,,,,,0.668,,,,,,,,
J6.可以磨炼意志力的有效途径,,,,,0.682,,,,,,,,
14、请判断自身个人特质(K)：—K1.认为自己很健谈,0.772,,,,,,,,,,,,
K2.常常乐于助人,0.792,,,,,,,,,,,,
K3.精力充沛,0.737,,,,,,,,,,,,
K4.宽容大度,0.746,,,,,,,,,,,,
K5.经常熬夜,0.757,,,,,,,,,,,,
K6.饮食不规律,0.744,,,,,,,,,,,,
K7.在空闲的时候，躺在床上不出门,0.785,,,,,,,,,,,,
K8.沉迷于网络,0.79,,,,,,,,,,,,
K9.我想获得新的运动技能,0.725,,,,,,,,,,,,
K10.我想认识一些新的朋友,0.785,,,,,,,,,,,,
K11.我想保持身心健康,0.748,,,,,,,,,,,,
K12.我想提高现有的运动技能,0.75,,,,,,,,,,,,
K13.我对待学习积极主动,0.782,,,,,,,,,,,,
K14.我有胆量，不怕困难,0.777,,,,,,,,,,,,
K15.我看到事物好的一面,0.751,,,,,,,,,,,,
K16.别人不爱锻炼不会影响我是否锻炼,0.777,,,,,,,,,,,,
K17.在锻炼的时候，我会尝试一些陌生的运动,0.782,,,,,,,,,,,,
K18.在较强的压力下我难以保持良好的状态,0.732,,,,,,,,,,,,
K19.在日常学习中，我能够及时理解老师的相关指示,0.761,,,,,,,,,,,,
K20.我觉得我的运动能力能够掌握大多数运动,0.767,,,,,,,,,,,,
K21.遇到误解、矛盾，和朋友及时沟通,0.776,,,,,,,,,,,,
K22.生活中，我会有意营造和保持良好的组织氛围,0.727,,,,,,,,,,,,
K23.我很喜欢加入组织、社团一起运动,0.755,,,,,,,,,,,,
15、请判断自己的性格(L)：—L1.没耐心的,,0.699,,,,,,,,,,,
L2.细心地,,0.743,,,,,,,,,,,
L3.认真的,,0.721,,,,,,,,,,,
L4.冷漠的,,0.691,,,,,,,,,,,
L5.负责的,,0.698,,,,,,,,,,,
L6.没有条理的,,0.676,,,,,,,,,,,
L7.懒惰的,,0.688,,,,,,,,,,,
L8.友好的,,0.718,,,,,,,,,,,
L9.严谨的,,0.733,,,,,,,,,,,
提取方法 :主成份。 ,,,,,,,,,,,,,
 旋转法 :具有 Kaiser 标准化的正交旋转法。,,,,,,,,,,,,,
a. 旋转在 7 次迭代后收敛。,,,,,,,,,,,,,
